教育工厂模式,https://zhuanlan.zhihu.com/p/252300144,
普鲁士教育模式,https://zhuanlan.zhihu.com/p/251148900,
教育改革,https://zhuanlan.zhihu.com/p/242815901,
学习内驱力的优化,https://zhuanlan.zhihu.com/p/357209357,
21 Mountain climb metaphor 爬山类比,https://zhuanlan.zhihu.com/p/66683201,
20 Why kids hate school? 为什么孩子们讨厌学校？,https://zhuanlan.zhihu.com/p/70779863,
19 Childhood passions 童年的激情,https://zhuanlan.zhihu.com/p/73348892,
18 Stress resilience 压力适应力,https://zhuanlan.zhihu.com/p/73207325,
17 Daycare misery 幼儿园的苦难,https://zhuanlan.zhihu.com/p/73366114,
大脑算法保护现实的模型,https://zhuanlan.zhihu.com/p/356977535,
16 Childhood amnesia 童年失忆症（16.6-16.11+摘要）,https://zhuanlan.zhihu.com/p/72794136,
16 Childhood amnesia 童年失忆症（16.1-16.5）,https://zhuanlan.zhihu.com/p/72792752,
15 How baby brain does not work 婴儿的大脑怎样不起作用,https://zhuanlan.zhihu.com/p/72589385,
14 Baby management 婴儿管理,https://zhuanlan.zhihu.com/p/72498488,
13 Brain evolution 大脑进化,https://zhuanlan.zhihu.com/p/67313970,
12 Natural creativity cycle 自然创造力周期,https://zhuanlan.zhihu.com/p/68262875,
11 Optimum push zone 最佳推动区,https://zhuanlan.zhihu.com/p/67694020,
10 Why schools fail 为什么学校会失败,https://zhuanlan.zhihu.com/p/65338937,
Anki 复习数据清洗与分析(附源码和数据),https://zhuanlan.zhihu.com/p/337200754,
Anki 制卡对复习记忆效率的影响分析,https://zhuanlan.zhihu.com/p/346463057,
从 Duolingo 机器学习算法说起，浅析记忆数据的特征工程,https://zhuanlan.zhihu.com/p/345172257,
从 Anki 算法说起，探索记忆的状态空间,https://zhuanlan.zhihu.com/p/344716900,
复习算法发展的两大方向,https://zhuanlan.zhihu.com/p/343419228,
从一个记忆伪概念，到记忆研究的难题。,https://zhuanlan.zhihu.com/p/343115387,
遗忘机制,https://zhuanlan.zhihu.com/p/265081034,
干扰,https://zhuanlan.zhihu.com/p/269974053,
泛化与概念化（Generalization vs Conceptualization）,https://zhuanlan.zhihu.com/p/264989664,
